OpeningTime,Open,High,Low,Close,Volume,CloseTime,RSI,MACD,MACDSIGNAL,MACDHIST,STOCHK,STOCHD
1662371400000,19787.63,19805.47,19782.34,19783.33,863.19975,1662371699999,56.18,2.84,0.80,2.04,78.02,72.65
1662371700000,19784.18,19792.15,19765.84,19768.59,521.55048,1662371999999,51.29,2.75,1.19,1.56,68.60,75.64
1662372000000,19768.59,19781.6,19763.85,19767.69,575.94968,1662372299999,50.99,2.58,1.47,1.11,43.73,63.45
1662372300000,19766.77,19769.34,19753.91,19762.85,567.04175,1662372599999,49.36,2.03,1.58,0.45,26.40,46.24
1662372600000,19762.85,19783.08,19753.83,19777.95,681.24015,1662372899999,54.27,2.78,1.82,0.96,27.23,32.46
1662372900000,19777.23,19781.95,19756.95,19763.44,495.46638,1662373199999,49.32,2.18,1.89,0.29,29.71,27.78
1662373200000,19762.52,19787.68,19761.42,19778.11,608.04174,1662373499999,53.90,2.85,2.08,0.77,47.84,34.93
1662373500000,19778.74,19784.17,19756.81,19760.86,549.76261,1662373799999,48.37,1.97,2.06,-0.09,39.19,38.91
1662373800000,19761.46,19762.93,19728.11,19737.01,805.50399,1662374099999,41.96,-0.64,1.52,-2.16,35.81,40.95
1662374100000,19736.24,19748.57,19700.0,19707.52,1159.35305,1662374399999,35.66,-5.04,0.21,-5.25,14.76,29.92
1662374400000,19707.52,19719.21,19660.0,19682.91,1635.59876,1662374699999,31.42,-10.39,-1.91,-8.47,13.82,21.46
1662374700000,19680.81,19722.83,19655.0,19718.91,1320.97783,1662374999999,42.24,-11.59,-3.85,-7.74,25.33,17.97
1662375000000,19718.56,19732.99,19700.88,19714.06,1116.74966,1662375299999,41.29,-12.78,-5.63,-7.15,40.71,26.62
1662375300000,19714.57,19719.43,19683.29,19691.07,894.7807,1662375599999,37.06,-15.41,-7.59,-7.82,47.58,37.88
1662375600000,19691.07,19718.52,19685.01,19714.85,832.81995,1662375899999,43.51,-15.39,-9.15,-6.24,56.67,48.32
1662375900000,19714.85,19719.67,19702.59,19705.84,576.57395,1662376199999,41.76,-15.92,-10.50,-5.42,60.16,54.80
1662376200000,19706.8,19708.49,19682.45,19700.66,974.62577,1662376499999,40.75,-16.57,-11.72,-4.85,59.32,58.72
1662376500000,19701.3,19706.0,19633.83,19690.33,1551.41498,1662376799999,38.73,-17.71,-12.91,-4.80,55.68,58.39
1662376800000,19691.52,19707.55,19660.3,19662.27,927.57189,1662377099999,33.84,-20.64,-14.46,-6.18,44.99,53.33
1662377100000,19662.88,19666.92,19637.7,19664.78,722.8289,1662377399999,34.63,-22.50,-16.07,-6.43,45.00,48.56
1662377400000,19663.51,19696.52,19649.68,19692.71,825.67046,1662377699999,42.87,-21.48,-17.15,-4.33,49.35,46.45
1662377700000,19692.26,19709.4,19681.89,19698.43,735.69017,1662377999999,44.42,-19.97,-17.71,-2.26,66.80,53.72
1662378000000,19697.92,19712.76,19689.0,19710.46,648.11437,1662378299999,47.62,-17.61,-17.69,0.09,87.09,67.75
1662378300000,19710.46,19723.99,19700.27,19710.99,703.9436,1662378599999,47.77,-15.51,-17.26,1.75,89.12,81.00
1662378600000,19710.99,19718.35,19674.27,19676.14,751.91325,1662378899999,40.03,-16.47,-17.10,0.63,72.49,82.90
1662378900000,19676.14,19703.46,19662.64,19701.95,723.66891,1662379199999,46.89,-14.98,-16.67,1.70,61.54,74.38
1662379200000,19701.95,19715.0,19682.49,19705.85,841.56595,1662379499999,47.86,-13.32,-16.00,2.68,56.70,63.58
1662379500000,19705.38,19708.4,19667.02,19672.6,789.81695,1662379799999,40.98,-14.53,-15.71,1.18,50.25,56.16
1662379800000,19672.6,19696.62,19667.03,19682.7,988.00694,1662380099999,43.63,-14.50,-15.47,0.97,40.89,49.28
1662380100000,19682.35,19729.0,19677.0,19720.14,908.07213,1662380399999,52.20,-11.33,-14.64,3.31,46.30,45.81
1662380400000,19720.14,19724.03,19704.41,19718.0,796.92164,1662380699999,51.72,-8.89,-13.49,4.60,68.30,51.83
1662380700000,19717.01,19751.88,19716.96,19738.31,1105.72665,1662380999999,55.90,-5.25,-11.84,6.59,84.30,66.30
1662381000000,19738.31,19755.31,19712.17,19731.49,1101.76456,1662381299999,54.20,-2.88,-10.05,7.17,79.76,77.46
1662381300000,19730.77,19740.0,19719.55,19726.38,655.92672,1662381599999,52.91,-1.41,-8.32,6.91,73.36,79.14
1662381600000,19726.89,19739.49,19719.94,19726.37,738.29079,1662381899999,52.90,-0.23,-6.70,6.47,59.74,70.95
1662381900000,19726.37,19739.05,19718.34,19730.87,769.18525,1662382199999,54.03,1.05,-5.15,6.20,49.85,60.98
